name,price,status,shipping,free_returns,items_sold
KATE SPADE Staci Large Leather Laptop Tote Shoulder Bag Beige Multi Colorblock,16900,Brand New,1898,False,
"UNDER ARMOUR HUSTLE BACKPACK, RED, XSTORM, PADDED LAPTOP SLEEVE 1306060 ",3595,Brand New,0,False,
Smatree Laptop Backpack for Men Business Travel Laptop Backpack 16 inch,16500,Brand New,1299,False,
Adidas 25.5L Backpack A300 Computer Padded Laptop Sleeve School Bookbag 20x13x6,4956,Brand New,1490,False,
Vera Bradley English Meadow 17” Laptop Case New With Tags- MSRP $45,2999,Brand New,1065,False,
Nike Sportswear Essentials Black Backpack BA6143-010 Laptop Sleeve With Bonus!,5995,Brand New,0,False,0
Timbuk2 Laptop Messenger Bag Commute 16” NEW with Tags,4500,Brand New,1500,False,
"3 X BREAST CANCER AWARENESS PINK RIBBON 6"" VINYL DECAL STICKER CAR TRUCK LAPTOP",275,Brand New,,False,
Women Genuine Vintage Brown Leather Messenger Bag Shoulder Laptop Bag Briefcase,3450,New (Other),0,True,
"NWT Under Armour Hustle 4.0 Storm School Sports Backpack Laptop Book Bag, Blue",3695,Brand New,0,True,0
🎁 NWT LeSportsac Gabrielle Box Backpack in Melon Laptop Compartment $125,3900,Brand New,900,False,0
CHAMPION Black Catalyst Backpack 4 Zippered Pockets-Padded for Laptop *READ,2886,New (Other),0,True,
"THE NORTH FACE JESTER 27L, LAPTOP BACKPACK (EVERGREEN/TNF BLACK)",7999,Brand New,,False,
MARCELLO Laptop Backpack Business Travel Rucksack School Tote USB Charging Port,1942,Brand New,0,True,
"New Men's 18"" Large Brown Briefcase Genuine Leather Satchel Laptop Messenger Bag",3500,New (Other),0,True,0
Vera Bradley Computer Laptop Zippered Quilted Padded Case 12x17 Fuchsia Paisley,1750,Pre-Owned,625,False,
Travel Backpack Anti-theft School Laptop For Women Men Zipper Closure 14 Inches,4761,Brand New,0,True,
New Men's Brown Leather Handbag Briefcase Office Laptop Messenger Shoulder Bag,3100,New (Other),0,True,
Men's Genuine Vintage Brown Leather Messenger Bag Shoulder Laptop Bag Briefcase,5800,New (Other),0,True,0
Men's Leather Shoulder Messenger Laptop Bags Business Work Bag Handbag Briefcase,3299,Brand New,0,True,
MICHAEL KORS GILLY LARGE DRAWSTRING ZIP TOTE SHOULDER BAG LAPTOP SIGNATURE BROWN,16999,Brand New,0,True,0
RAZER Laptop Video Gaming T-shirt,1995,New (Other),510,False,
Carhartt Foundry Series Backpack Laptop Sleeve Bag Rain Defender Water Repellent,8000,Brand New,0,True,
"Hester van Eeghen laptop, satchel, backpack",7900,Pre-Owned,2115,False,
Kenneth Cole Reaction Laptop Work Tote Bag Black,2000,Pre-Owned,1465,False,
KNOMO Laptop Briefcase Crossbody Messenger Leather Bag Travel Pockets,3999,Pre-Owned,1324,False,
NWT TUMI Northlake Expansion Messenger Laptop Bag black 069372HKO Nylon NICE!!!,16995,Brand New,2415,False,0
Tutilo Black Red Padded pocked laptop table shoulder bag 15inx 11in,3599,Pre-Owned,1000,False,
Ogio Sector Z Black Gray Laptop Book Bag Back Pack Chest Strap.,2120,Pre-Owned,1465,False,
"THE NORTH FACE SURGE 31L,15'' LAPTOP BACKPACK DAYPACK ( SCARAB GREEN/TNF BLACK )",12900,Brand New,,False,
Polyester Laptop Backpack for Women School Bag 16” USB Port Anti-Theft Work Gift,4290,Brand New,0,True,
USL Vintage Black Leather Laptop Briefcase Case Messenger Bag Expandable ,4999,Pre-Owned,2101,False,
NEW TUMI Expandable Organizer Laptop Brief Alpha 3 BLACK CHROME  STUNNING $625,39900,New (Other),1584,False,
Alpine Swiss Conrad Messenger Bag 15.6 Inch Laptop Briefcase with Tablet Sleeve,3999,Brand New,,False,92
TIMBUK2  Hacker Style Messenger Shoulder Bag Fits 13” Laptop Blue Nylon Bicycle,3999,Pre-Owned,1015,False,
MICHAEL KORS GILLY LARGE DRAWSTRING ZIP TOTE BAG LAPTOP VANILLA LOGO LEATHER,16999,Brand New,0,True,0
New Coach Mollie Leather Tote Black True Red Laptop 1671,21800,Brand New,,False,0
Columbia Sun Pass II Backpack 821.7oz Camo 15” Laptop School College,3499,Brand New,0,False,0
NWT ZAC POSEN MAXI DRESS SIZE 10 MAGENTA PRINT SAFETY PIN SWEETHEART OPEN BACK,4400,Brand New,1465,False,
Diesel Laptops Hat - New - Trucker Mesh Back Snap Back - Stylish!,899,New (Other),625,False,
Dango P02 PIONEER TRAVEL Wallet (Made in USA) - Pen Bundles available,9900,Brand New,800,True,
"Men's 18"" goat leather messenger Real satchel bag genuine brown laptop briefcase",3800,New (Other),0,True,
"18"" Men's Handcrafted Messenger Genuine Brown Vintage Leather Satchel Laptop Bag",2950,New (Other),0,True,0
,,,,False,
